File Name,LOCALIZAÇÃO,DISPONÍVEL,DEVOLVIDOS,UTILIZADOS,PREÇO,ARRECADAÇÃO,Validation Link
142301b.pdf,Cadeira Inferior Norte/ Sul Meia,7.939,,7.939,"109,00","865.351,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=0&page=0
142301b.pdf,Sócio Cadeira Inferior Norte / Sul Meia,98,0,98,"109,00","10.682,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=1&page=0
142301b.pdf,Cadeira Inferior Leste Inteira,834,0,834,"258,00","215.172,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=2&page=0
142301b.pdf,Cadeira Inferior Leste Meia,4.650,0,4.650,"129,00","599.850,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=3&page=0
142301b.pdf,Sócio Cadeira Inferior Leste Meia,337,0,337,"129,00","43.473,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=4&page=0
142301b.pdf,Cadeira Inferior Oeste Inteira,787,0,787,"278,00","218.786,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=5&page=0
142301b.pdf,Cadeira Inferior Oeste Meia,4.636,0,4.636,"139,00","644.404,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=6&page=0
142301b.pdf,Sócio Cadeira Inferior Oeste Meia,336,0,336,"139,00","46.704,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=7&page=0
142301b.pdf,Cadeira Superior Norte / Sul Inteira,818,0,818,"158,00","129.244,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=8&page=0
142301b.pdf,Cadeira Superior Norte / Sul Meia,16.002,,16.002,"79,00","1.264.158,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=9&page=0
142301b.pdf,Sócio Cadeira Superior Norte / Sul Meia,351,0,351,"79,00","27.729,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=10&page=0
142301b.pdf,Cadeira Superior Leste Inteira,365,0,365,"198,00","72.270,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=11&page=0
142301b.pdf,Cadeira Superior Leste Meia,8.399,0.,8.399,"99,00","831.501,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=12&page=0
142301b.pdf,Sócio Cadeira Superior Leste Meia,97,,97,"99,00","9.603,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=13&page=0
142301b.pdf,Cadeira Superior Oeste Inteira,91,0,91,"218,00","19.838,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=14&page=0
142301b.pdf,Cadeira Superior Oeste Meia,7.577,0,7.577,"109,00","825.893,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=15&page=0
142301b.pdf,Sócio Cadeira Superior Oeste Meia,51,0,51,"109,00","5.559,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=16&page=0
142301b.pdf,Mezanino Vip Norte / Sul Inteira,72,,72,"298,00","21.456,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=17&page=0
142301b.pdf,Mezanino Vip Norte / Sul Meia,1.977,0,1.977,"149,00","294.573,00",https://journaliststudio.google.com/pinpoint-extract/preview?collection=950057bfa29705b4&job=a4fe4f39cd9c3052&docid=2c12893bcf234365_950057bfa29705b4&schid=8001&row=18&page=0
